shogun-total-war;722;84;8.6;Japan, 1542. The land is in turmoil. The last Shogunate has collapsed, leaving the nation divided into seven warring factions. Out of this chaos will emerge one warlord who will master the Art Of War. [Electron;Creative Assembly;T;turn-based;"http://video.gamespotcdn.com/d5/2015/03/10/Trailer_TotalWar_15YearsofTotalWar_20150310_4000.mp4
"
grand-kingdom;722;76;8.5;After the fall of the once-prosperous Uldein Empire over one hundred years ago, the Four Great Nations now wage war to claim dominion over the Resonail continent. Battles are no longer fought by honorable knights loyal to a nation, but by mercenaries who sell their services to the highest;Spike Chunsoft;T;turn-based;"http://video.gamespotcdn.com/d5/2016/03/24/Trailer_GrandKingdom_BattleSystem_20160324_4000.mp4
"
lara-croft-go;595;84;5.0;Lara Croft GO is a turn based puzzle-adventure set in a long-forgotten world. Explore the ruins of an ancient civilization, discover well-kept secrets and face deadly challenges as you uncover the myth of the Queen o;Square Enix;E10+;turn-based;"http://video.gamespotcdn.com/d5/2017/03/04/Trailer_TheGOTrilogyStories_PT2_20170303_4000.mp4
"
dungeon-twister;342;49;4.3;Dungeon Twister is a turn-based strategy game adapted from a famous boa;Hydravision;T;turn-based;"http://video.gamespotcdn.com/d6/gsc/2012/05/169_dungeontwister_launch_ot_ps3_052212_4000.mp4
"
frozen-synapse-prime;444;84;7.2;Prime is an asynchronous, turn-based strategy game that allows players to participated in several matches simultaneously. It also includes a single-player campaign set within a dystopian future, where you assume the role of a tactician to a resistance group attempting to prevent an evil;Double Eleven;T;turn-based;"http://video.gamespotcdn.com/d5/2014/09/08/Trailer_FSP_PSVitaLaunch_20140908_4000.mp4
"
xcom-2;122;88;7.2;20 years have passed since world leaders unconditionally surrendered to alien forces and XCOM, the world's last line of defense, was left destroyed and scattered. Now the aliens hold dominion over the Earth, building shining cities that promise a brilliant future for humanity on the surface,;Firaxis Games;T;turn-based;"http://video.gamespotcdn.com/d5/2017/08/29/Trailer_XCOM_Launch_20170829_4000.mp4
"
battleship;163;55;3.1;"Combining naval strategy simulation with first-person shooter gameplay, players fend off the enemy beachside while ordering attacks against their marine counterparts. Seamlessly switching between battlefield and overview ""Battle Command"" map, the Hasbro game is brought to life as";Magic Pockets;E10+;turn-based;"http://video.gamespotcdn.com/d3/gsc/2012/02/169_battleship_Teaser_ot_multi_020812z_2800.mp4
"
hitman-go-definitive-edition;485;72;4.2;Get your daily fix of Agent 47 with this elegant, strategy-based Hitm;Square Enix Montreal;E10+;turn-based;"http://video.gamespotcdn.com/d5/2017/03/23/Trailer_GoTrilogy_HitmanGO_20170322_4000.mp4
"
project-x-zone;570;70;7.4;Developed by Banpresto and Monolith Soft, Project X Zone features over 50 characters from 29 historic game franchises by three of Japan's most prolific video game companies. In Project X Zone players use a team of two characters known as a Pair Unit to explore the world within the game. An;Monolith Soft, Banpresto;T;turn-based;"http://video.gamespotcdn.com/d6/gsc/2012/04/169_projectxzone_ot_multi_042312_2800.mp4
"
chroma-squad;310;74;7.5;Chroma Squad is a tactical RPG about five stunt actors who decide to quit their jobs and start their own Power Rangers-inspired TV show! Cast actors, purchase equipment and upgrades for your studio, craft weapons, and build giant Mechas out of cardboard and duct tape. Once the cameras are;Behold Studios;T;turn-based;"http://video.gamespotcdn.com/d5/2017/05/19/Trailer_ChromaSquad_Launch_20170519_4000.mp4
"
